,Accommodation_Capacity,Unit of measurement,Economic activity,Region,Year,Value
662,Bedplaces,Number,"Camping grounds, recreational vehicle parks and trailer parks",Lombardia,2021,85258.0
663,Bedplaces,Number,"Camping grounds, recreational vehicle parks and trailer parks",Lombardia,2022,85290.0
664,Bedplaces,Number,"Camping grounds, recreational vehicle parks and trailer parks",Lombardia,2023,78971.0
672,Bedplaces,Number,"Camping grounds, recreational vehicle parks and trailer parks",Abruzzo,2021,38579.0
673,Bedplaces,Number,"Camping grounds, recreational vehicle parks and trailer parks",Abruzzo,2022,37351.0
674,Bedplaces,Number,"Camping grounds, recreational vehicle parks and trailer parks",Abruzzo,2023,35991.0
677,Bedplaces,Number,"Camping grounds, recreational vehicle parks and trailer parks",Molise,2021,3037.0
678,Bedplaces,Number,"Camping grounds, recreational vehicle parks and trailer parks",Molise,2022,3037.0
679,Bedplaces,Number,"Camping grounds, recreational vehicle parks and trailer parks",Molise,2023,3037.0
682,Bedplaces,Number,"Camping grounds, recreational vehicle parks and trailer parks",Campania,2021,34793.0
683,Bedplaces,Number,"Camping grounds, recreational vehicle parks and trailer parks",Campania,2022,34915.0
684,Bedplaces,Number,"Camping grounds, recreational vehicle parks and trailer parks",Campania,2023,34915.0
687,Bedplaces,Number,"Camping grounds, recreational vehicle parks and trailer parks",Puglia,2021,68719.0
688,Bedplaces,Number,"Camping grounds, recreational vehicle parks and trailer parks",Puglia,2022,67192.0
689,Bedplaces,Number,"Camping grounds, recreational vehicle parks and trailer parks",Puglia,2023,68175.0
692,Bedplaces,Number,"Camping grounds, recreational vehicle parks and trailer parks",Basilicata,2021,4356.0
693,Bedplaces,Number,"Camping grounds, recreational vehicle parks and trailer parks",Basilicata,2022,4356.0
694,Bedplaces,Number,"Camping grounds, recreational vehicle parks and trailer parks",Basilicata,2023,4356.0
697,Bedplaces,Number,"Camping grounds, recreational vehicle parks and trailer parks",Calabria,2021,50873.0
698,Bedplaces,Number,"Camping grounds, recreational vehicle parks and trailer parks",Calabria,2022,50536.0
699,Bedplaces,Number,"Camping grounds, recreational vehicle parks and trailer parks",Calabria,2023,43858.0
707,Bedplaces,Number,"Camping grounds, recreational vehicle parks and trailer parks",Sicilia,2021,21657.0
708,Bedplaces,Number,"Camping grounds, recreational vehicle parks and trailer parks",Sicilia,2022,21722.0
709,Bedplaces,Number,"Camping grounds, recreational vehicle parks and trailer parks",Sicilia,2023,21544.0
712,Bedplaces,Number,"Camping grounds, recreational vehicle parks and trailer parks",Sardegna,2021,49094.0
713,Bedplaces,Number,"Camping grounds, recreational vehicle parks and trailer parks",Sardegna,2022,49184.0
714,Bedplaces,Number,"Camping grounds, recreational vehicle parks and trailer parks",Sardegna,2023,45991.0
722,Bedplaces,Number,"Camping grounds, recreational vehicle parks and trailer parks",Trentino-Alto Adige,2021,15042.0
723,Bedplaces,Number,"Camping grounds, recreational vehicle parks and trailer parks",Trentino-Alto Adige,2022,15674.0
724,Bedplaces,Number,"Camping grounds, recreational vehicle parks and trailer parks",Trentino-Alto Adige,2023,15865.0
727,Bedplaces,Number,"Camping grounds, recreational vehicle parks and trailer parks",Trentino-Alto Adige,2021,36939.0
728,Bedplaces,Number,"Camping grounds, recreational vehicle parks and trailer parks",Trentino-Alto Adige,2022,38724.0
729,Bedplaces,Number,"Camping grounds, recreational vehicle parks and trailer parks",Trentino-Alto Adige,2023,41033.0
732,Bedplaces,Number,"Camping grounds, recreational vehicle parks and trailer parks",Veneto,2021,193887.0
733,Bedplaces,Number,"Camping grounds, recreational vehicle parks and trailer parks",Veneto,2022,194017.0
734,Bedplaces,Number,"Camping grounds, recreational vehicle parks and trailer parks",Veneto,2023,191677.0
737,Bedplaces,Number,"Camping grounds, recreational vehicle parks and trailer parks",Friuli Venezia Giulia,2021,14594.0
738,Bedplaces,Number,"Camping grounds, recreational vehicle parks and trailer parks",Friuli Venezia Giulia,2022,14194.0
739,Bedplaces,Number,"Camping grounds, recreational vehicle parks and trailer parks",Friuli Venezia Giulia,2023,14194.0
742,Bedplaces,Number,"Camping grounds, recreational vehicle parks and trailer parks",Emilia-Romagna,2021,75861.0
743,Bedplaces,Number,"Camping grounds, recreational vehicle parks and trailer parks",Emilia-Romagna,2022,73533.0
744,Bedplaces,Number,"Camping grounds, recreational vehicle parks and trailer parks",Emilia-Romagna,2023,74020.0
752,Bedplaces,Number,"Camping grounds, recreational vehicle parks and trailer parks",Toscana,2021,163754.0
753,Bedplaces,Number,"Camping grounds, recreational vehicle parks and trailer parks",Toscana,2022,164383.0
754,Bedplaces,Number,"Camping grounds, recreational vehicle parks and trailer parks",Toscana,2023,161378.0
757,Bedplaces,Number,"Camping grounds, recreational vehicle parks and trailer parks",Umbria,2021,10553.0
758,Bedplaces,Number,"Camping grounds, recreational vehicle parks and trailer parks",Umbria,2022,10554.0
759,Bedplaces,Number,"Camping grounds, recreational vehicle parks and trailer parks",Umbria,2023,9626.0
762,Bedplaces,Number,"Camping grounds, recreational vehicle parks and trailer parks",Marche,2021,62648.0
763,Bedplaces,Number,"Camping grounds, recreational vehicle parks and trailer parks",Marche,2022,61907.0
764,Bedplaces,Number,"Camping grounds, recreational vehicle parks and trailer parks",Marche,2023,55499.0
767,Bedplaces,Number,"Camping grounds, recreational vehicle parks and trailer parks",Lazio,2021,80300.0
768,Bedplaces,Number,"Camping grounds, recreational vehicle parks and trailer parks",Lazio,2022,80454.0
769,Bedplaces,Number,"Camping grounds, recreational vehicle parks and trailer parks",Lazio,2023,78471.0
800,Bedplaces,Percentage change on previous period,Hotels and similar accommodation,Piemonte,2021,-0.92
801,Bedplaces,Percentage change on previous period,Hotels and similar accommodation,Piemonte,2022,0.36
802,Bedplaces,Percentage change on previous period,Hotels and similar accommodation,Piemonte,2023,0.0
805,Bedplaces,Percentage change on previous period,Hotels and similar accommodation,Valle d'Aosta,2021,-1.01
806,Bedplaces,Percentage change on previous period,Hotels and similar accommodation,Valle d'Aosta,2022,0.46
807,Bedplaces,Percentage change on previous period,Hotels and similar accommodation,Valle d'Aosta,2023,-1.71
810,Bedplaces,Percentage change on previous period,Hotels and similar accommodation,Liguria,2021,-1.45
811,Bedplaces,Percentage change on previous period,Hotels and similar accommodation,Liguria,2022,-1.59
812,Bedplaces,Percentage change on previous period,Hotels and similar accommodation,Liguria,2023,-1.05
815,Bedplaces,Percentage change on previous period,Hotels and similar accommodation,Lombardia,2021,2.25
816,Bedplaces,Percentage change on previous period,Hotels and similar accommodation,Lombardia,2022,1.15
817,Bedplaces,Percentage change on previous period,Hotels and similar accommodation,Lombardia,2023,-1.36
825,Bedplaces,Percentage change on previous period,Hotels and similar accommodation,Abruzzo,2021,0.34
826,Bedplaces,Percentage change on previous period,Hotels and similar accommodation,Abruzzo,2022,0.25
827,Bedplaces,Percentage change on previous period,Hotels and similar accommodation,Abruzzo,2023,0.08
830,Bedplaces,Percentage change on previous period,Hotels and similar accommodation,Molise,2021,-2.22
831,Bedplaces,Percentage change on previous period,Hotels and similar accommodation,Molise,2022,-2.53
832,Bedplaces,Percentage change on previous period,Hotels and similar accommodation,Molise,2023,0.0
835,Bedplaces,Percentage change on previous period,Hotels and similar accommodation,Campania,2021,0.73
836,Bedplaces,Percentage change on previous period,Hotels and similar accommodation,Campania,2022,0.43
837,Bedplaces,Percentage change on previous period,Hotels and similar accommodation,Campania,2023,0.18
840,Bedplaces,Percentage change on previous period,Hotels and similar accommodation,Puglia,2021,1.67
841,Bedplaces,Percentage change on previous period,Hotels and similar accommodation,Puglia,2022,0.49
842,Bedplaces,Percentage change on previous period,Hotels and similar accommodation,Puglia,2023,0.81
845,Bedplaces,Percentage change on previous period,Hotels and similar accommodation,Basilicata,2021,-1.68
846,Bedplaces,Percentage change on previous period,Hotels and similar accommodation,Basilicata,2022,4.76
847,Bedplaces,Percentage change on previous period,Hotels and similar accommodation,Basilicata,2023,0.9
850,Bedplaces,Percentage change on previous period,Hotels and similar accommodation,Calabria,2021,-0.93
851,Bedplaces,Percentage change on previous period,Hotels and similar accommodation,Calabria,2022,0.49
852,Bedplaces,Percentage change on previous period,Hotels and similar accommodation,Calabria,2023,-3.69
860,Bedplaces,Percentage change on previous period,Hotels and similar accommodation,Sicilia,2021,-1.29
861,Bedplaces,Percentage change on previous period,Hotels and similar accommodation,Sicilia,2022,-0.34
862,Bedplaces,Percentage change on previous period,Hotels and similar accommodation,Sicilia,2023,0.75
865,Bedplaces,Percentage change on previous period,Hotels and similar accommodation,Sardegna,2021,1.44
866,Bedplaces,Percentage change on previous period,Hotels and similar accommodation,Sardegna,2022,0.44
867,Bedplaces,Percentage change on previous period,Hotels and similar accommodation,Sardegna,2023,1.15
875,Bedplaces,Percentage change on previous period,Hotels and similar accommodation,Trentino-Alto Adige,2021,-0.09
876,Bedplaces,Percentage change on previous period,Hotels and similar accommodation,Trentino-Alto Adige,2022,1.08
877,Bedplaces,Percentage change on previous period,Hotels and similar accommodation,Trentino-Alto Adige,2023,3.18
880,Bedplaces,Percentage change on previous period,Hotels and similar accommodation,Trentino-Alto Adige,2021,-1.24
881,Bedplaces,Percentage change on previous period,Hotels and similar accommodation,Trentino-Alto Adige,2022,-0.1
882,Bedplaces,Percentage change on previous period,Hotels and similar accommodation,Trentino-Alto Adige,2023,0.12
885,Bedplaces,Percentage change on previous period,Hotels and similar accommodation,Veneto,2021,-3.84
886,Bedplaces,Percentage change on previous period,Hotels and similar accommodation,Veneto,2022,2.91
887,Bedplaces,Percentage change on previous period,Hotels and similar accommodation,Veneto,2023,-1.15
890,Bedplaces,Percentage change on previous period,Hotels and similar accommodation,Friuli Venezia Giulia,2021,-0.01
891,Bedplaces,Percentage change on previous period,Hotels and similar accommodation,Friuli Venezia Giulia,2022,-0.62
892,Bedplaces,Percentage change on previous period,Hotels and similar accommodation,Friuli Venezia Giulia,2023,1.71
895,Bedplaces,Percentage change on previous period,Hotels and similar accommodation,Emilia-Romagna,2021,2.38
896,Bedplaces,Percentage change on previous period,Hotels and similar accommodation,Emilia-Romagna,2022,0.01
897,Bedplaces,Percentage change on previous period,Hotels and similar accommodation,Emilia-Romagna,2023,-0.35
905,Bedplaces,Percentage change on previous period,Hotels and similar accommodation,Toscana,2021,-0.35
906,Bedplaces,Percentage change on previous period,Hotels and similar accommodation,Toscana,2022,0.42
907,Bedplaces,Percentage change on previous period,Hotels and similar accommodation,Toscana,2023,-0.31
910,Bedplaces,Percentage change on previous period,Hotels and similar accommodation,Umbria,2021,1.17
911,Bedplaces,Percentage change on previous period,Hotels and similar accommodation,Umbria,2022,-8.18
912,Bedplaces,Percentage change on previous period,Hotels and similar accommodation,Umbria,2023,0.13
915,Bedplaces,Percentage change on previous period,Hotels and similar accommodation,Marche,2021,-0.73
916,Bedplaces,Percentage change on previous period,Hotels and similar accommodation,Marche,2022,-0.02
917,Bedplaces,Percentage change on previous period,Hotels and similar accommodation,Marche,2023,-1.55
920,Bedplaces,Percentage change on previous period,Hotels and similar accommodation,Lazio,2021,1.77
921,Bedplaces,Percentage change on previous period,Hotels and similar accommodation,Lazio,2022,-0.45
922,Bedplaces,Percentage change on previous period,Hotels and similar accommodation,Lazio,2023,-3.39
953,Bedplaces,Percentage change on previous period,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Piemonte,2021,-0.34
954,Bedplaces,Percentage change on previous period,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Piemonte,2022,0.42
955,Bedplaces,Percentage change on previous period,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Piemonte,2023,1.15
958,Bedplaces,Percentage change on previous period,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Valle d'Aosta,2021,-0.01
959,Bedplaces,Percentage change on previous period,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Valle d'Aosta,2022,0.11
960,Bedplaces,Percentage change on previous period,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Valle d'Aosta,2023,-3.47
963,Bedplaces,Percentage change on previous period,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Liguria,2021,0.03
